altitude_m,ambient_pressure_Pa,thrust_N,isp_s
17000.0,8786.667009614881,97811.8464518126,315.2268375911533
17500.0,8120.49568988506,97916.48839801738,315.56407639174955
18000.0,7504.830919082715,98013.1967940687,315.87574704271503
18500.0,6935.843484798047,98102.5731312454,316.1637880228796
19000.0,6409.994490787985,98185.17329806936,316.429990843059
19500.0,5924.0133463202965,98261.51103773151,316.6760111886049
20000.0,5474.877424281044,98332.0611433886,316.9033792171694
20500.0,5059.79326152612,98397.2624112052,317.113509075733
21000.0,4676.179184549888,98457.52036950731,317.3077076960876
21500.0,4321.649252408844,98513.20980102192,317.48718292347985
22000.0,3993.998417031075,98564.6770738902,317.6530510289726
22500.0,3691.1888086140343,98612.24229595216,317.806343652247
23000.0,3411.3370608107307,98656.20130570182,317.9480142180292
23500.0,3152.7025968715834,98696.82751229564,318.0789438660468
24000.0,2913.6768038859877,98734.37359605874,318.19994693140046
24500.0,2692.7730277912588,98769.0730800652,318.3117760094334
25000.0,2488.6173269215624,98801.14178256724,318.41512663660257
25500.0,2299.9399265872007,98830.7791593067,318.5106416164642
26000.0,2125.567321534871,98858.16954405767,318.5989150176796
26500.0,1964.4149771690263,98883.4832951161,318.6804958689075
27000.0,1815.4805841385717,98906.87785486666,318.7558915735642
27500.0,1677.8378243348784,98928.49872901762,318.82557106568913
28000.0,1550.6306095278646,98948.4803915937,318.88996772654525
28500.0,1433.067756806544,98966.94712131593,318.949482080094
29000.0,1324.4180677072063,98984.01377457035,319.0044842841094
29500.0,1224.0057804231794,98999.78649977346,319.055316432426
30000.0,1131.2063668105795,99014.36339757658,319.10229468263867
30500.0,1045.442648048918,99027.8351310169,319.14571122248844
31000.0,966.1812047973984,99040.2854894085,319.1858360871652
31500.0,892.929059519363,99051.79190948176,319.2229188388284
32000.0,825.2306103401451,99062.4259570118,319.25719011879386
32500.0,762.6647973680393,99072.25377193176,319.28886308203937
33000.0,704.8424838539172,99081.33647969922,319.3181347229517
33500.0,651.4040359012627,99089.7305714746,319.34518710056017
34000.0,602.0170856732836,99097.48825547556,319.3701884708785
34500.0,556.3744641850649,99104.65778169346,319.39329433339594
35000.0,514.1922908234751,99111.28374199072,319.41464839822834
35500.0,475.2082077123308,99117.40734744616,319.4343834799429
36000.0,439.1797479412076,99123.06668467302,319.4526223236167
36500.0,405.8828275088687,99128.2969527039,319.46947836826706
37000.0,375.11035160174936,99133.13068191602,319.4850564524009
37500.0,346.6709265390478,99137.59793635848,319.49945346607257
38000.0,320.38766937318854,99141.72650073972,319.5127589535048
38500.0,296.09710774180456,99145.54205323836,319.52505567002163
39000.0,273.648163128711,99149.06832521224,319.53642009675656
39500.0,252.90121121012632,99152.3272487988,319.5469229163374
40000.0,233.7272134418299,99155.33909332524,319.5566294525068
40500.0,216.00691448604377,99158.1225913762,319.5656000764125
41000.0,199.6301004863243,99160.69505530372,319.57389058209367
41500.0,184.4949135771986,99163.07248490395,319.5815525335
42000.0,170.50721836504673,99165.26966692992,319.58863358520057
42500.0,157.58001643996977,99167.30026705988,319.59517777877835
43000.0,145.63290527711456,99169.17691489292,319.6012258167527
43500.0,134.59157816202264,99170.91128250046,319.6068153157344
44000.0,124.38736202971668,99172.51415702228,319.61198104038743
44500.0,114.95679034304942,99173.9955077588,319.61675511965257
45000.0,106.24120835377693,99175.36454817628,319.6211672465778
45500.0,98.18640829121846,99176.6297932114,319.6252448629982
46000.0,90.74229220950984,99177.79911223114,319.6290133302146
46500.0,83.8625603964834,99178.87977797726,319.6324960867313
47000.0,77.50442340618726,99179.8785118002,319.63571479403544
47500.0,71.62833592399393,99180.80152546352,319.6386894713234
48000.0,66.19775080903243,99181.6545597786,319.64143862001305
48500.0,61.178891784177694,99182.4429203107,319.6439793388158
49000.0,56.54054335981197,99183.17151037743,319.6463274300846
49500.0,52.25385668475861,99183.84486154576,319.6484974980987
50000.0,48.2921701168521,99184.46716181665,319.65050303989693
50500.0,44.63084339715765,99185.0422816729,319.6523565292246
51000.0,41.24710439646431,99185.5737981522,319.6540694941157
51500.0,38.1199074808695,99186.06501709502,319.6556525885927
52000.0,35.22980261554099,99186.51899370569,319.6571156589314
52500.0,32.55881439252824,99186.93855155465,319.65846780490057
53000.0,30.090330230220182,99187.32630014014,319.6597174363596
53500.0,27.808997049090507,99187.68465111824,319.6608723255644
54000.0,25.70062578109055,99188.01583330258,319.66193965550883
54500.0,23.75210311877312,99188.32190652665,319.6629260645992
55000.0,21.951309955258736,99188.60477445528,319.66383768794384
55500.0,20.28704600776973,99188.86619642485,319.66468019551047
56000.0,18.74896015591861,99189.10779838548,319.66545882739166
56500.0,17.327486061479537,99189.3310830141,319.66617842639647
57000.0,16.01378266922114,99189.5374390604,319.6668434681706
57500.0,14.7996792187378,99189.72814998444,319.6674580890336
58000.0,13.677624425272183,99189.90440193925,319.6680261117052
58500.0,12.64063951345272,99190.0672911483,319.66855106908105
59000.0,11.68227481183252,99190.2178307236,319.6690362262064
59500.0,10.796569638263412,99190.35695696692,319.66948460058336
60000.0,9.978015226606908,99190.48553519323,319.66989898093846
